round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
133,54,0,18.633995,0.027215,28,3997
134,54,0,18.595501,0.038495,37,4034
135,54,0,18.564989,0.030511,28,4062
136,54,0,18.348783,0.216207,32,4094
137,54,0,18.31311,0.035672,34,4128
138,54,0,18.277699,0.035411,30,4158
139,54,0,18.239839,0.03786,29,4187
140,54,0,18.203333,0.036506,29,4216
141,54,0,18.183097,0.020235,29,4245
142,54,0,17.990471,0.192627,30,4275
143,54,0,17.801624,0.188847,31,4306
144,54,0,17.764097,0.037527,27,4333
145,54,0,17.59816,0.165936,26,4359
146,54,0,17.562963,0.035197,31,4390
147,54,0,17.526315,0.036649,34,4424
148,54,0,17.476058,0.050256,31,4455
149,54,0,17.451304,0.024754,27,4482
150,54,0,17.43231,0.018994,30,4512
151,54,0,17.402389,0.029921,34,4546
152,54,0,17.364322,0.038067,31,4577
153,54,0,17.3401,0.024222,30,4607
154,54,0,17.318254,0.021846,32,4639
155,54,0,17.29132,0.026934,30,4669
156,54,0,17.264537,0.026783,25,4694
157,54,0,17.228034,0.036503,32,4726
158,54,0,17.185757,0.042277,35,4761
159,54,0,17.152258,0.033499,35,4796
160,54,0,17.11378,0.038478,32,4828
161,54,0,17.086795,0.026985,31,4859
162,54,0,16.904011,0.182783,28,4887
163,54,0,16.879865,0.024147,34,4921
164,54,0,16.642741,0.237123,37,4958
165,54,0,16.614014,0.028727,28,4986
166,54,0,16.591059,0.022955,33,5019
167,54,0,16.419273,0.171786,26,5045
168,54,0,16.385736,0.033537,32,5077
169,54,0,16.186757,0.198979,31,5108
170,54,0,16.156248,0.030509,29,5137
171,54,0,16.132274,0.023974,33,5170
172,54,0,16.105292,0.026981,30,5200
173,54,0,16.065405,0.039888,31,5231
174,54,0,16.037664,0.02774,26,5257
175,54,0,16.015644,0.02202,29,5286
176,54,0,15.96874,0.046904,31,5317
177,54,0,15.937177,0.031563,36,5353
178,54,0,15.895549,0.041629,26,5379
179,54,0,15.850447,0.045102,32,5411
180,54,0,15.794642,0.055804,34,5445
181,54,0,15.766604,0.028039,30,5475
182,54,0,15.744951,0.021653,29,5504
183,54,0,15.724177,0.020774,30,5534
184,54,0,15.698144,0.026034,31,5565
185,54,0,15.669095,0.029049,34,5599
186,54,0,15.647923,0.021171,33,5632
187,54,0,15.624307,0.023616,29,5661
188,54,0,15.598973,0.025334,34,5695
189,54,0,15.446784,0.152189,24,5719
190,54,0,15.413321,0.033463,30,5749
191,54,0,15.380308,0.033013,25,5774
192,54,0,15.353604,0.026704,34,5808
193,54,0,15.154539,0.199065,31,5839
194,54,0,15.133956,0.020582,26,5865
195,54,0,15.10037,0.033587,30,5895
196,54,0,15.063258,0.037111,28,5923
197,54,0,15.037208,0.02605,25,5948
198,54,0,15.0072,0.030009,25,5973
199,54,0,14.954875,0.052325,29,6002
200,54,0,14.909394,0.045481,26,6028
201,54,0,14.872016,0.037378,31,6059
202,54,0,14.715904,0.156112,24,6083
203,54,0,14.522873,0.193031,30,6113
204,54,0,14.503783,0.01909,28,6141
205,54,0,14.465425,0.038358,31,6172
206,54,0,14.428265,0.037159,32,6204
207,54,0,14.407527,0.020738,29,6233
208,54,0,14.387334,0.020194,25,6258
209,54,0,14.365459,0.021875,32,6290
210,54,0,14.338987,0.026472,30,6320
211,54,0,14.154529,0.184458,28,6348
212,54,0,14.131407,0.023122,29,6377
213,54,0,14.093079,0.038329,27,6404
214,54,0,14.058291,0.034787,32,6436
215,54,0,14.037927,0.020364,24,6460
216,54,0,14.017856,0.020071,27,6487
217,54,0,13.989109,0.028746,29,6516
218,54,0,13.952122,0.036988,27,6543
219,54,0,13.931165,0.020957,34,6577
220,54,0,13.866327,0.064838,29,6606
221,54,0,13.706939,0.159388,25,6631
222,54,0,13.542847,0.164092,27,6658
223,54,0,13.521125,0.021722,29,6687
224,54,0,13.489265,0.03186,26,6713
225,54,0,13.453617,0.035648,29,6742
226,54,0,13.430947,0.022671,29,6771
227,54,0,13.413014,0.017933,27,6798
228,54,0,13.373668,0.039346,27,6825
229,54,0,13.337295,0.036373,32,6857
230,54,0,13.312267,0.025028,31,6888
231,54,0,13.294192,0.018075,28,6916
232,54,0,13.091134,0.203059,32,6948
233,54,0,13.053211,0.037923,27,6975
234,54,0,13.022733,0.030478,30,7005
235,54,0,12.998863,0.023871,28,7033
236,54,0,12.964485,0.034377,34,7067
237,54,0,12.944078,0.020407,31,7098
238,54,0,12.905863,0.038215,25,7123
239,54,0,12.874821,0.031042,28,7151
240,54,0,12.838823,0.035998,32,7183
