round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
587,54,0,3.430817,0.040394,28,17532
588,54,0,3.394417,0.0364,23,17555
589,54,0,3.355614,0.038803,28,17583
590,54,0,3.318193,0.037422,24,17607
591,54,0,3.294193,0.023999,26,17633
592,54,0,3.255203,0.038991,29,17662
593,54,0,3.228852,0.026351,29,17691
594,54,0,3.176721,0.052131,36,17727
595,54,0,3.133007,0.043714,34,17761
596,54,0,3.089611,0.043396,29,17790
597,54,0,3.06153,0.028081,25,17815
598,54,0,3.018301,0.043229,32,17847
599,54,0,2.970816,0.047484,28,17875
600,54,0,2.932417,0.0384,27,17902
601,54,0,2.888766,0.043651,34,17936
602,54,0,2.845599,0.043167,34,17970
603,54,0,2.798507,0.047092,31,18001
604,54,0,2.76042,0.038087,27,18028
605,54,0,2.723857,0.036563,27,18055
606,54,0,2.681294,0.042563,32,18087
607,54,0,2.639107,0.042188,33,18120
608,54,0,2.59291,0.046196,31,18151
609,54,0,2.563699,0.029211,22,18173
610,54,0,2.535011,0.028688,26,18199
611,54,0,2.492491,0.04252,33,18232
612,54,0,2.452433,0.040058,29,18261
613,54,0,2.401156,0.051277,36,18297
614,54,0,2.369216,0.03194,31,18328
615,54,0,2.328674,0.040542,29,18357
616,54,0,2.292861,0.035813,30,18387
617,52,2,2.24666,0.046851,31,18418
618,52,2,2.222758,0.023902,26,18444
619,51,3,2.186893,0.036027,30,18474
620,48,6,2.164493,0.032289,28,18502
621,48,6,2.137237,0.027256,25,18527
622,48,6,2.095271,0.041966,32,18559
623,47,7,2.065839,0.029498,33,18592
624,47,7,2.037402,0.028437,26,18618
625,46,8,2.008424,0.028981,26,18644
626,42,12,1.973167,0.040195,24,18668
627,42,12,1.953473,0.019694,20,18688
628,42,12,1.928028,0.025445,20,18708
629,40,14,1.905419,0.023036,25,18733
630,40,14,1.888145,0.017274,17,18750
631,38,16,1.862087,0.026439,24,18774
632,36,18,1.837327,0.025069,22,18796
633,35,19,1.824891,0.012442,11,18807
634,35,19,1.810711,0.01418,14,18821
635,35,19,1.795013,0.015699,16,18837
636,35,19,1.779079,0.015934,16,18853
637,34,20,1.762013,0.017142,18,18871
638,34,20,1.742041,0.019972,16,18887
639,34,20,1.726783,0.015258,15,18902
