round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
133,54,0,24.342087,0.019612,28,3997
134,54,0,24.320002,0.022084,37,4034
135,54,0,24.298972,0.021031,28,4062
136,54,0,24.276939,0.022033,32,4094
137,54,0,24.252736,0.024203,34,4128
138,54,0,24.234482,0.018253,30,4158
139,54,0,24.216588,0.017895,29,4187
140,54,0,24.196542,0.020046,29,4216
141,54,0,24.175822,0.02072,29,4245
142,54,0,24.15576,0.020062,30,4275
143,54,0,24.133611,0.022149,31,4306
144,54,0,24.116411,0.017199,27,4333
145,54,0,24.100184,0.016227,26,4359
146,54,0,24.080173,0.020011,31,4390
147,54,0,24.056941,0.023232,34,4424
148,54,0,24.037584,0.019356,31,4455
149,54,0,24.020428,0.017156,27,4482
150,54,0,24.000438,0.01999,30,4512
151,54,0,23.977587,0.022851,34,4546
152,54,0,23.955619,0.021969,31,4577
153,54,0,23.93446,0.021158,30,4607
154,54,0,23.915029,0.019431,32,4639
155,54,0,23.894534,0.020495,30,4669
156,54,0,23.875404,0.01913,25,4694
157,54,0,23.855914,0.01949,32,4726
158,54,0,23.835056,0.020859,35,4761
159,54,0,23.8145,0.020556,35,4796
160,54,0,23.794053,0.020447,32,4828
161,54,0,23.772227,0.021826,31,4859
162,54,0,23.752676,0.019551,28,4887
163,54,0,23.731104,0.021572,34,4921
164,54,0,23.708594,0.02251,37,4958
165,54,0,23.687996,0.020598,28,4986
166,54,0,23.664002,0.023994,33,5019
167,54,0,23.646311,0.017691,26,5045
168,54,0,23.627024,0.019287,32,5077
169,54,0,23.605566,0.021458,31,5108
170,54,0,23.586364,0.019202,29,5137
171,54,0,23.563858,0.022506,33,5170
172,54,0,23.542504,0.021354,30,5200
173,54,0,23.520697,0.021807,31,5231
174,54,0,23.502535,0.018161,26,5257
175,54,0,23.48058,0.021955,29,5286
176,54,0,23.458751,0.02183,31,5317
177,54,0,23.437313,0.021438,36,5353
178,54,0,23.417982,0.019331,26,5379
179,54,0,23.397313,0.020669,32,5411
180,54,0,23.376834,0.020479,34,5445
181,54,0,23.354201,0.022633,30,5475
182,54,0,23.334169,0.020032,29,5504
183,54,0,23.313165,0.021004,30,5534
184,54,0,23.293971,0.019194,31,5565
185,54,0,23.273641,0.02033,34,5599
186,54,0,23.252979,0.020662,33,5632
187,54,0,23.235416,0.017563,29,5661
188,54,0,23.21356,0.021856,34,5695
189,54,0,23.196308,0.017252,24,5719
190,54,0,23.17641,0.019897,30,5749
191,54,0,23.157891,0.018519,25,5774
192,54,0,23.137182,0.020709,34,5808
193,54,0,23.117195,0.019987,31,5839
194,54,0,23.100343,0.016852,26,5865
195,54,0,23.081916,0.018427,30,5895
196,54,0,23.064081,0.017835,28,5923
197,54,0,23.047654,0.016427,25,5948
198,54,0,23.028225,0.019429,25,5973
199,54,0,23.007159,0.021066,29,6002
200,54,0,22.990428,0.016731,26,6028
201,54,0,22.968952,0.021475,31,6059
202,54,0,22.95303,0.015922,24,6083
203,54,0,22.934385,0.018645,30,6113
204,54,0,22.91635,0.018035,28,6141
205,54,0,22.89661,0.01974,31,6172
206,54,0,22.87768,0.01893,32,6204
207,54,0,22.856198,0.021483,29,6233
208,54,0,22.839778,0.016419,25,6258
209,54,0,22.818402,0.021376,32,6290
210,54,0,22.799613,0.018789,30,6320
211,54,0,22.778632,0.020981,28,6348
212,54,0,22.760132,0.0185,29,6377
213,54,0,22.7405,0.019632,27,6404
214,54,0,22.720741,0.019758,32,6436
215,54,0,22.705232,0.01551,24,6460
216,54,0,22.685202,0.02003,27,6487
217,54,0,22.667633,0.017569,29,6516
218,54,0,22.647844,0.019789,27,6543
219,54,0,22.627463,0.020381,34,6577
220,54,0,22.606899,0.020564,29,6606
221,54,0,22.587801,0.019098,25,6631
222,54,0,22.569605,0.018196,27,6658
223,54,0,22.548881,0.020723,29,6687
224,54,0,22.532089,0.016792,26,6713
225,54,0,22.512023,0.020066,29,6742
226,54,0,22.492012,0.020012,29,6771
227,54,0,22.475031,0.016981,27,6798
228,54,0,22.458227,0.016804,27,6825
229,54,0,22.437249,0.020978,32,6857
230,54,0,22.418365,0.018883,31,6888
231,54,0,22.398175,0.02019,28,6916
232,54,0,22.378016,0.020159,32,6948
233,54,0,22.360815,0.017201,27,6975
234,54,0,22.340381,0.020433,30,7005
235,54,0,22.32137,0.019012,28,7033
236,54,0,22.301275,0.020095,34,7067
237,54,0,22.281948,0.019327,31,7098
238,54,0,22.263895,0.018053,25,7123
239,54,0,22.243829,0.020066,28,7151
240,54,0,22.223573,0.020256,32,7183
241,54,0,22.200945,0.022628,30,7213
242,54,0,22.183201,0.017744,29,7242
243,54,0,22.1654,0.017802,29,7271
244,54,0,22.144113,0.021286,33,7304
245,54,0,22.123184,0.020929,27,7331
246,54,0,22.104646,0.018539,31,7362
247,54,0,22.084089,0.020557,29,7391
248,54,0,22.065228,0.018861,29,7420
249,54,0,22.04299,0.022238,32,7452
250,54,0,22.02473,0.01826,30,7482
251,54,0,22.005687,0.019043,32,7514
252,54,0,21.989319,0.016368,26,7540
253,54,0,21.972678,0.016641,27,7567
254,54,0,21.95649,0.016188,26,7593
255,54,0,21.938739,0.01775,24,7617
256,54,0,21.91903,0.01971,31,7648
257,54,0,21.900194,0.018836,29,7677
258,54,0,21.880103,0.020091,28,7705
259,54,0,21.860847,0.019256,30,7735
260,54,0,21.842682,0.018165,26,7761
261,54,0,21.826217,0.016465,25,7786
262,54,0,21.807585,0.018631,30,7816
263,54,0,21.787407,0.020178,32,7848
264,54,0,21.769993,0.017414,28,7876
265,54,0,21.750811,0.019182,28,7904
266,54,0,21.732321,0.01849,26,7930
267,54,0,21.710406,0.021916,30,7960
268,54,0,21.691911,0.018495,26,7986
269,54,0,21.672151,0.01976,32,8018
270,54,0,21.651157,0.020994,27,8045
271,54,0,21.631684,0.019473,32,8077
272,54,0,21.612767,0.018917,32,8109
273,54,0,21.594077,0.01869,27,8136
274,54,0,21.576772,0.017305,23,8159
275,54,0,21.55737,0.019402,32,8191
276,54,0,21.539025,0.018345,29,8220
277,54,0,21.519148,0.019877,26,8246
278,54,0,21.50125,0.017898,29,8275
279,54,0,21.479354,0.021896,31,8306
280,54,0,21.461687,0.017667,28,8334
281,54,0,21.439313,0.022374,31,8365
282,54,0,21.41943,0.019883,30,8395
283,54,0,21.399662,0.019768,32,8427
284,54,0,21.376863,0.022799,31,8458
285,54,0,21.357685,0.019178,28,8486
286,54,0,21.338966,0.018719,30,8516
287,54,0,21.318418,0.020548,26,8542
288,54,0,21.297909,0.020509,29,8571
289,54,0,21.280027,0.017882,27,8598
290,54,0,21.257573,0.022454,32,8630
291,54,0,21.235409,0.022164,29,8659
292,54,0,21.214199,0.021209,29,8688
293,54,0,21.192917,0.021283,29,8717
294,54,0,21.174225,0.018692,30,8747
295,54,0,21.151326,0.022899,32,8779
296,54,0,21.130964,0.020361,27,8806
297,54,0,21.110926,0.020039,27,8833
298,54,0,21.091704,0.019222,25,8858
299,54,0,21.069742,0.021962,30,8888
300,54,0,21.050182,0.01956,28,8916
301,54,0,21.030463,0.019719,25,8941
302,54,0,21.010549,0.019914,32,8973
303,54,0,20.991217,0.019332,26,8999
304,54,0,20.972848,0.018369,28,9027
305,54,0,20.949167,0.023681,35,9062
306,54,0,20.93111,0.018057,26,9088
307,54,0,20.914123,0.016987,25,9113
308,54,0,20.897065,0.017058,27,9140
309,54,0,20.879891,0.017174,27,9167
310,54,0,20.859751,0.02014,31,9198
311,54,0,20.838968,0.020783,28,9226
312,54,0,20.821032,0.017936,29,9255
313,54,0,20.803042,0.017989,30,9285
314,54,0,20.784943,0.018099,28,9313
315,54,0,20.764929,0.020014,31,9344
316,54,0,20.745809,0.019119,25,9369
317,54,0,20.725009,0.020801,31,9400
318,54,0,20.701661,0.023347,33,9433
319,54,0,20.685084,0.016577,24,9457
320,54,0,20.666221,0.018863,31,9488
321,54,0,20.648046,0.018174,25,9513
322,54,0,20.626208,0.021839,30,9543
323,54,0,20.605331,0.020877,29,9572
324,54,0,20.584843,0.020488,30,9602
325,54,0,20.566415,0.018428,31,9633
326,54,0,20.545374,0.02104,28,9661
327,54,0,20.525155,0.02022,32,9693
328,54,0,20.504995,0.02016,32,9725
329,54,0,20.48661,0.018385,28,9753
330,54,0,20.466061,0.020549,35,9788
